date,feed,ep_num,title,movie,guest
2015-03-23T19:14:01+00:00,main,1,In A Galaxy Far Far Away… - The Phantom Podcast,The Phantom Menace,
2015-06-08T17:56:52+00:00,main,12,Judging The Judge,The Judge,
2015-06-22T18:43:50+00:00,main,13,Unrest In The Galactic Senate - Attack Of The Podcast,Attack of the Clones,
2015-09-14T18:21:55+00:00,main,23,The Podcastic Two,The Fantastic Four,
2015-09-14T18:21:55+00:00,main,23,The Podcastic Two,Fant4stic,
2015-09-21T20:23:38+00:00,main,24,The Beginning of The End - Revenge Of The Podcast,Revenge of the Sith,
2015-12-07T07:15:24+00:00,main,34,A New Podcast,Star Wars: A New Hope,
2015-12-14T20:59:35+00:00,main,35,The Podcast Strikes Back,The Empire Strikes Back,
2015-12-17T05:00:00+00:00,main,36,Return of the Podcast,Return of the Jedi,
2015-12-21T05:00:00+00:00,main,37,The Podcast Awakens,The Force Awakens,
2015-12-24T05:00:00+00:00,main,38,The Podcast Holiday Special with Pilot Viruet,The Star Wars Holiday Special,Pilot Viruet
2016-01-26T04:46:10+00:00,main,40,Praying with Anger/Wide Awake,Praying with Anger,
2016-01-26T04:46:10+00:00,main,40,Praying with Anger/Wide Awake,Wide Awake,
2016-02-01T22:53:22+00:00,main,41,The Sixth Sense with Katey Rich,The Sixth Sense,Katey Rich
2016-02-08T17:13:15+00:00,main,42,Unbreakable with Matt Patches,Unbreakable,Matt Patches
2016-02-15T05:00:00+00:00,main,43,Signs with Murf Meyer and Diana Kolsky,Signs,Murf Meyer and Diana Kolsky
2016-02-29T05:00:00+00:00,main,45,The Village with David Ehrlich,The Village,David Ehrlich
2016-03-07T07:00:00+00:00,main,46,Lady in the Water with Richard Lawson,Lady in the Water,Richard Lawson
2016-03-14T16:45:19+00:00,main,47,The Happening,The Happening,
2016-03-18T22:25:54+00:00,main,48,The Last Airbender with Seaton Smith,The Last Airbender,Seaton Smith
2016-03-25T20:05:48+00:00,main,49,After Earth with James III,After Earth,James III
2016-04-01T17:29:33+00:00,main,50,The Visit with Louis Peitzman,The Visit,Louis Peitzman
2016-04-12T17:06:17+00:00,main,51,The Buried Secret of M. Night Shyamalan,The Buried Secret of M. Night Shyamalan,
2016-04-18T17:31:15+00:00,main,52,Bound,Bound,
2016-04-22T16:18:45+00:00,main,53,Batman v Superman: Dawn of Justice - The Lost Episode,Batman v Superman: Dawn of Justice,
2016-04-25T16:22:01+00:00,main,54,The Matrix,The Matrix,
2016-04-28T22:44:21+00:00,main,55,The Matrix Reloaded,The Matrix Reloaded,
2016-05-05T20:25:09+00:00,main,56,The Matrix Revolutions,The Matrix Revolutions,
2016-05-16T16:59:37+00:00,main,57,Speed Racer with Emily Yoshida and J.D. Amato,Speed Racer,Emily Yoshida and J.D. Amato
2016-05-20T00:00:00+00:00,main,58,Cloud Atlas with Bobby Finger,Cloud Atlas,Bobby Finger
2016-05-27T22:45:02+00:00,main,59,Jupiter Ascending,Jupiter Ascending,
2016-06-03T23:19:16+00:00,main,60,Sense8,Sense8,
2016-06-10T18:46:53+00:00,main,61,The Animatrix,The Animatrix,
2016-06-17T20:09:34+00:00,main,62,Fletch,Fletch,
2016-06-23T15:41:18+00:00,main,63,Say Anything…,Say Anything…,
2016-06-30T18:40:52+00:00,main,64,Singles,Singles,
2016-07-07T17:33:40+00:00,main,65,Jerry Maguire,Jerry Maguire,
2016-07-15T19:18:49+00:00,main,66,Almost Famous,Almost Famous,
2016-07-22T23:01:51+00:00,main,67,Vanilla Sky with Richard Lawson,Vanilla Sky,Richard Lawson
2016-07-26T20:59:32+00:00,main,68,Denim Invasion Live @ DCM18 with John Trowbridge,Denim Invasion Live @ DCM18,John Trowbridge
2016-08-06T22:42:43+00:00,main,69,Suicide Squad,Suicide Squad,
2016-08-11T19:54:10+00:00,main,70,Elizabethtown,Elizabethtown,
2016-08-22T00:22:05+00:00,main,71,We Bought a Zoo,We Bought a Zoo,
2016-08-26T22:38:02+00:00,main,72,Aloha with Esther Zuckerman,Aloha,Esther Zuckerman
2016-09-04T21:16:18+00:00,main,73,Roadies with Layne Montgomery,Roadies,Layne Montgomery
2016-09-07T17:11:30+00:00,main,74,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,
2016-09-18T22:00:00+00:00,main,75,Piranha II: The Spawning,Piranha II: The Spawning,
